reg_no,attendance_percentage,prev_sem_gpa,cat1_marks,cat2_marks,internal_assignment_marks,completed_assignments,study_hours_per_week,backlog_count,lab_marks,quiz_marks,final_cgpa,grade_class,risk_level
22BAI10001,94.5,9.20,47.0,48.5,96.0,10,25.0,0,95.0,19.0,9.35,Distinction,Low Risk
22BAI10002,88.0,8.50,42.0,43.0,89.0,10,20.5,0,90.0,18.0,8.72,Distinction,Low Risk
22BAI10003,82.5,7.80,36.5,38.0,82.0,9,16.0,0,84.0,16.0,7.95,Good,Low Risk
22BAI10004,74.0,6.90,31.0,32.5,75.0,8,13.5,0,76.0,14.5,7.10,Good,Moderate Risk
22BAI10005,67.5,5.85,24.0,26.0,65.0,6,9.0,1,68.0,11.0,6.15,Average,Moderate Risk
22BAI10006,56.0,4.80,18.0,20.5,52.0,4,6.0,2,58.0,8.5,4.90,At-Risk,High Risk
22BAI10007,91.0,8.95,45.0,46.0,94.0,10,22.0,0,93.0,18.5,9.05,Distinction,Low Risk
22BAI10008,85.5,8.10,39.0,40.5,86.0,9,18.0,0,88.0,17.0,8.25,Good,Low Risk
22BAI10009,79.0,7.30,34.0,35.0,80.0,8,14.0,0,80.0,15.0,7.45,Good,Low Risk
22BAI10010,71.0,6.20,28.0,29.5,70.0,7,11.0,0,72.0,13.0,6.50,Average,Moderate Risk
22BAI10011,62.0,5.20,21.0,23.0,58.0,5,7.5,1,62.0,9.5,5.35,At-Risk,High Risk
22BAI10012,48.0,4.20,15.0,16.5,45.0,3,4.0,3,50.0,7.0,4.15,At-Risk,High Risk
22BAI10013,96.0,9.50,48.5,49.0,98.0,10,28.0,0,97.0,20.0,9.65,Distinction,Low Risk
22BAI10014,89.5,8.65,43.5,44.0,91.0,10,21.0,0,91.0,18.0,8.80,Distinction,Low Risk
22BAI10015,83.0,7.90,37.0,39.0,84.0,9,17.0,0,85.0,16.5,8.02,Good,Low Risk
22BAI10016,76.5,7.10,33.0,34.0,78.0,8,14.5,0,78.0,15.0,7.25,Good,Low Risk
22BAI10017,69.0,6.00,26.0,27.5,67.0,7,10.0,0,70.0,12.0,6.28,Average,Moderate Risk
22BAI10018,59.5,5.00,19.5,21.0,55.0,4,6.5,2,60.0,9.0,5.10,At-Risk,High Risk
22BAI10019,93.0,9.10,46.0,47.0,95.0,10,24.0,0,94.0,19.0,9.20,Distinction,Low Risk
22BAI10020,86.0,8.25,40.0,41.5,87.0,10,19.0,0,89.0,17.5,8.40,Good,Low Risk
22BAI10021,80.5,7.50,35.0,36.5,81.0,9,15.0,0,82.0,15.5,7.65,Good,Low Risk
22BAI10022,73.0,6.50,30.0,31.0,72.0,8,12.0,0,74.0,13.5,6.75,Average,Moderate Risk
22BAI10023,65.0,5.50,23.0,25.0,62.0,6,8.5,1,65.0,10.5,5.80,Average,Moderate Risk
22BAI10024,53.0,4.50,16.0,18.0,48.0,3,5.0,2,54.0,7.5,4.55,At-Risk,High Risk
22BAI10025,95.0,9.40,48.0,48.5,97.0,10,26.0,0,96.0,19.5,9.50,Distinction,Low Risk
22BAI10026,87.5,8.40,41.5,42.5,88.0,10,19.5,0,89.5,17.5,8.55,Distinction,Low Risk
22BAI10027,81.0,7.65,36.0,37.0,83.0,9,15.5,0,83.0,16.0,7.80,Good,Low Risk
22BAI10028,75.0,6.80,32.0,33.0,76.0,8,13.0,0,77.0,14.0,7.00,Good,Low Risk
22BAI10029,66.0,5.70,25.0,26.5,64.0,6,9.5,1,67.0,11.5,6.05,Average,Moderate Risk
22BAI10030,55.0,4.70,17.5,19.0,50.0,4,5.5,2,56.0,8.0,4.80,At-Risk,High Risk
